link_id,link_dir,boundary_id,LL,N_aps,v_m,v_ped,v_s,P_HV,S_lim,S_f,S_85mj,S_pf,S_b,N_th,W_T,W_bl,W_swbuf,W_blbuf,W_os,W_ol,w_oi,w_oo,pwindow,pbuilding,pfence,p_pk,p_g,P_c,p_mx,H_blbuf,H_swbuf,protected,div,p_strp,curb,sharedbl,n_bus,n_xbus,p_ot,t_late,F_l,L_pt,pop,p_sh,p_be,bus,nearside
Shattuck-Walnut,EB,Shattuck,240,0,330,100,2,0.02,25,,,3.3,10,1,5,5,0,0,0,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,FALSE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Shattuck-Walnut,WB,Walnut,240,0,339,100,0,0.02,25,,,3.3,10,1,5,5,0,0,10,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,TRUE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Walnut-Oxford,EB,Walnut,260,0,380,100,2,0.02,25,,,3.3,10,1,5,5,0,0,0,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,FALSE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Walnut-Oxford,WB,Oxford,260,0,222,100,0,0.04,25,,,3.3,10,1,5,5,0,0,10,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,TRUE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Oxford-Spruce,EB,Oxford,200,0,632,100,2,0.02,25,,,3.3,10,1,5,5,0,0,0,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,FALSE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Oxford-Spruce,WB,Spruce,200,0,462,100,0,0.02,25,,,3.3,10,1,5,5,0,0,10,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,FALSE,0,FALSE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Spruce-Arch/Le Conte,EB,Spruce,400,0,665,100,10,0.02,25,,,3.3,10,1,5,5,0,0,12,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,TRUE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Spruce-Arch/Le Conte,WB,Arch/Le Conte,400,0,323,100,0,0.1,25,,,3.3,10,1,5,5,0,0,10,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Arch/Le Conte-Euclid,EB,Arch/Le Conte,1000,0,488,100,10,0.08,25,,,3.3,10,1,5,5,0,0,2,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,FALSE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Arch/Le Conte-Euclid,WB,Euclid,1000,0,266,100,0,0.15,25,,,3.3,10,1,5,0,0,0,0,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Euclid-Le Roy,EB,Euclid,475,0,427,100,10,0.1,25,,,3.3,10,1,5,0,0,0,0,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Euclid-Le Roy,WB,Le Roy,475,0,206,100,0,0.12,25,,,3.3,10,1,5,0,0,0,0,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
Le Roy-La Loma,EB,Le Roy,260,0,431,100,10,0.1,25,,,3.3,10,1,5,0,0,0,0,12,0,0,0.25,0.75,0,0.9,5,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.85,3.7,TRUE,0,1,TRUE,TRUE
Le Roy-La Loma,WB,La Loma,260,0,191,100,0,0.12,25,,,3.3,10,1,5,0,0,0,0,12,0,0,0.25,0.75,0,0.9,0,3.5,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0,0,0.85,3.7,TRUE,0,1,FALSE,FALSE
