LINK_ID,link_dir,LL,N_aps,V_m,PHV,S_R,S_p,S_b,N_th,W_A,W_buf,W_bl,W_os,W_ol,p_pk,W_pk,P_c,p_mx,bar_blsw,bar_blst,h_blst,h_blsw,div,p_strp,c,sharedbl,n_bus,n_xbus,t_ex,L_f,S,l_pt,pop,p_sh,p_be,bus
Shattuck-Walnut,EB,240,0,330,0.02,25,3.3,10,1,10,5,5,0,12,0.9,0,3.5,0.35,No,No,0,0,No,No,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Shattuck-Walnut,WB,240,0,339,0.02,25,3.3,10,1,8,5,5,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Walnut-Oxford,EB,260,0,380,0.02,25,3.3,10,1,10,5,5,0,12,0.9,0,3.5,0.35,No,No,0,0,No,No,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Walnut-Oxford,WB,260,0,222,0.04,25,3.3,10,1,8,5,5,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Oxford-Spruce,EB,200,0,632,0.02,25,3.3,10,1,8,12,5,0,12,0.9,0,3.5,0.35,No,No,0,0,No,No,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Oxford-Spruce,WB,200,0,462,0.02,25,3.3,10,1,5,12,5,0,12,0.9,0,3.5,0.35,No,No,0,0,No,No,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Spruce-Arch/Le Conte,EB,400,0,665,0.02,25,3.3,10,1,5,5,5,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Spruce-Arch/Le Conte,WB,400,0,323,0.1,25,3.3,10,1,5,5,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Arch/Le Conte-Euclid,EB,1000,0,488,0.08,25,3.3,10,1,5,7,5,0,12,0.9,0,3.5,0.35,No,No,0,0,No,No,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Arch/Le Conte-Euclid,WB,1000,0,266,0.15,25,3.3,10,1,5,0,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Euclid-Le Roy,EB,475,0,427,0.1,25,3.3,10,1,9,0,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Euclid-Le Roy,WB,475,0,206,0.12,25,3.3,10,1,9,0,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Le Roy-La Loma,EB,260,0,431,0.1,25,3.3,10,1,9,0,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
Le Roy-La Loma,WB,260,0,191,0.12,25,3.3,10,1,9,0,0,0,12,0.9,9,3.5,0.35,No,No,0,0,No,Yes,Yes,No,5,0,0,0.85,15,3.7,No,0,1,Yes
